3.002500087022781372e-01,2.499967813491821289e-04,6.000077623619026572e-03,3.464146431155094678e-03
3.007500022649765015e-01,2.499967813491821289e-04,4.000051749079350759e-03,2.828463716871119134e-03
3.012499958276748657e-01,2.499967813491821289e-04,2.000025874539675379e-03,2.000025874539675379e-03
3.017499893903732300e-01,2.499967813491821289e-04,4.000051749079350759e-03,2.828463716871119134e-03
3.022499978542327881e-01,2.500116825103759766e-04,7.999626677113394133e-03,3.999813338556697066e-03
3.027500063180923462e-01,2.499967813491821289e-04,1.000012937269837560e-02,4.472193812229179923e-03
3.032499998807907104e-01,2.499967813491821289e-04,8.000103498158701518e-03,4.000051749079350759e-03
3.037499934434890747e-01,2.499967813491821289e-04,1.200015524723805314e-02,4.899042864985889492e-03
3.042500019073486328e-01,2.500116825103759766e-04,7.999626677113394133e-03,3.999813338556697066e-03
3.047500103712081909e-01,2.499967813491821289e-04,1.200015524723805314e-02,4.899042864985889492e-03
3.052500039339065552e-01,2.499967813491821289e-04,1.000012937269837560e-02,4.472193812229179923e-03
3.057499974966049194e-01,2.499967813491821289e-04,1.000012937269837560e-02,4.472193812229179923e-03
3.062499910593032837e-01,2.499967813491821289e-04,1.000012937269837560e-02,4.472193812229179923e-03
3.067499995231628418e-01,2.500116825103759766e-04,9.999533346391741365e-03,4.471927261161577280e-03
3.072500079870223999e-01,2.499967813491821289e-04,1.200015524723805314e-02,4.899042864985889492e-03
3.077500015497207642e-01,2.499967813491821289e-04,1.600020699631740304e-02,5.656927433742238269e-03
3.082499951124191284e-01,2.499967813491821289e-04,2.200028461993642701e-02,6.633335396850526151e-03
3.087499886751174927e-01,2.499967813491821289e-04,6.000077623619026572e-03,3.464146431155094678e-03
3.092499971389770508e-01,2.500116825103759766e-04,9.999533346391741365e-03,4.471927261161577280e-03
3.097500056028366089e-01,2.499967813491821289e-04,1.600020699631740304e-02,5.656927433742238269e-03
3.102499991655349731e-01,2.499967813491821289e-04,1.600020699631740304e-02,5.656927433742238269e-03
3.107499927282333374e-01,2.499967813491821289e-04,1.800023287085707885e-02,6.000077623619026572e-03
3.112500011920928955e-01,2.500116825103759766e-04,2.199897336206183343e-02,6.632940037725669306e-03
3.117500096559524536e-01,2.499967813491821289e-04,2.800036224355545444e-02,7.483411587210388530e-03
